title,time,click,content
"
                    신규 코인업 거래소 SPL코인&사전예약 이벤트 중입니다.                                    ",09-25,325,신규거래소 '코인업' 거래소 입니다.사전가입자가 12만명이 다되어 가네요..사전가입 하시고 SPL코인 2만개 받아가세요.사이트 주소 :추천인 링크 :추천 안해주셔도 됩니다. 용돈정도는 되겠죠?ㅎㅎ
"
                    크라우드포스 간단 참여 이벤트                                    ",09-23,191,9월 23일부터 크라우드포스에서 에어드랍을시작합니다. 에어드랍은165개 CRF를 ICO 종료후 지급합니다.참여방법은 그냥 텔레그램방 참여 후프로젝트에 관련된 글 작성하시면 끝입니다.
"
                    신규 KB거래소 에어드랍&사전가입 이벤트 받으세요~                                    ",09-19,416,요즘 거래소가 많이 생기고 있네요!KB코인 & 사전가입 이벤트 참여해보세요^^추천링크 :
"
                    보안성 높은 고속 하이브리드형 암호화폐거래소 등장                                    ",09-10,452,암호화폐거래소는 중앙 집중형 및 분산형 거래소로 나뉜다. 최근 암호화폐 거래소 해킹사태는 주로 중앙 집중형 거래소에서 발생했다. 이에 분산형 거래소에서 거래자가 직접 화폐를 보관하는 방식으로 보안이 강화됐지만 속도라 느리고 거래옵션도 제한됐다. 탈중앙화 거래소도 대안으로 등장했지만 중앙 관리 서버가 없어 처리 속도가 느리고 이용자수가 적었다는 한계가 있다.최근 중앙집중형의 빠른 속도와 분산형의 높은 보안성을 결합한 신개념의 하이브리드형 거래소 ‘BBOD’가 등장해 주목을 받고 있다.세계 최초 하이브리드형 거래소 BBOD는 스마트 웰렛 방식의 커스터디 솔루션으로 획기적인 분산 보관 레버리지 거래 및 처리속도가 빠르다.
"
                    2018 제주 블록체인 해커톤                                    ",09-05,704,[2018 제주 블록체인 해커톤]블록체인 허브도시로서 제주의 가능성을 알리고 블록체인 기술을 활용한 서비스 개발 실험을 통한 교류의 장을 마련하기 위해 오는 10월 26일부터 28일까지 2박 3일간 제주혁신센터에서 ‘2018 제주 블록체인 해커톤’이 개최된다는 소식입니다!주최 : 제주창조경제혁신센터일시 : 10월 26일 ~ 28일 (2박 3일)장소 : 제주※제주왕복항공권 및 해커톤 기간 동안 숙박 지원공식 홈페이지 : 관련 기사 : 
"
                    안녕하세요. MEW 질문좀 드리고자 합니다.                                    ",07-18,547,안녕하세요?날씨가 너무 더운데 건강하시길 바랍니다.다름이 아니고. 오늘 저의 MEW (My Ether Wallet)에 접속을 하였는데...너무 이상한걸 발견해서 불안한 마음에 질문 글을 올리고자 합니다.보통 MEW에 제가 보유하고 있는 코인외에 여러가지 이상한 잡코인들이 들어와있는 경우가 많습니다.그런데 제가 오늘 발견한 것은 제 지갑 (MEW)으로 들어온것이 아니고.제 MEW의 Transfer 이력 부분에생전 처음 보는 토큰이 빠져나간 이력이 보입니다.그리고 더 이상한 것은 제 MEW의 과거 transfer를 모두 뒤져 보아도 그 토큰이 들어왔던흔적은 없습니다.다른 정상적인 토큰들은 제 MEW의 토큰 밸런스에 그대로 있구요...이상한 transaction이 빠져나간 이력 (인출된 이력) 이라는 점에서 매우 이상하고.. 불안합니다.즉 정리하면..1) 제 MEW로 들어온 적이 없는 처음 보는 token이 제 MEW의 transfer 이력에서는 인출된 것으로 나옵니다.2) 제가 모르는 토큰이더라도 타인이 어떻게 저 모르게 제 지갑에서 토큰을 빼 갈수 있을까요?3) 이 토큰의 정체는 무엇일까요? (토큰 이름은 nicetokens 라고 되어 있습니다)불안합니다..제발 도와 주십시오. 감사합니다.
"
                    암호화폐 생태계에 던지는 7 난제                                    ",07-14,1065,
"
                    [행사소개]TXGX(Tech Forum by GroundX 2018)                                    ",07-11,459,Ground X(카카오 블록체인 자회사)에서 TXGX(Tech Forum by GroundX 2018)을 개최합니다.일시 및 장소 : 7월 20(금)~21일(토) | 제주 카카오 본사신청 기한 : 이번주 금요일 11:59 AM 까지Ground X를 비롯해 Oasis Labs Kyber Network Zilliqa Chia Orbs Aelf Quarkchain Lambda256 팀들이 함께 확장성 스토리지 프라이버시 컨센서스 알고리즘을 주제로 세션발표와 패널 토의를 진행하는 행사입니다.참석을 원하는 개발자께서는 공식 홈페이지()를 통해 오는 13일까지 신청해주시길 바랍니다.
"
                    [행사 소개] Korea Blockchain Summit 2018                                    ",07-09,569,​
"
                    [블록체인 개발자 구인] 이더리움 블록체인 스타트업 온더(Onther Inc.)에서 개…                                    ",06-12,1538,근로자수자본금고용형태모집인원급여조건근무형태근무시간접수마감접수방법
"
                    Waves 한국 커뮤니티 대상 에어드롭 오늘 마감됩니다                                    ",05-20,528,
"
                    Cardano 개발진 ICO                                    ",05-19,668,디스플리나라는 아쇼가 진행중이며 CARDANO 핵심 개발진들이 개발한교육기관과 채용을 위한 특수 블락체인입니다.다른 아쇼와 달리 이미 TeachMeplease라는 제품이 구현되어있습니다. 2016년 7월 18일에 출시되어 현재 teachmeplease.com에는 20000개 이상의 클래스가 등록되어 있습니다. 회사는 미국에 등록되어 있으며 북미 시장을 위한 프로젝트의 현지화 및 적응이 거의 완료되었습니다.저희는 현재 기능하고 있는 마켓플레이스를 기반으로 CRM/ERP 클라우드 서비스를 개발 중입니다. 이 서비스는 교육 기관 교사 개인 교사 학생 B2B 부문 그리고 HR 전문가 간의 효율적인 협력을 위한 환경을 마련해줄 뿐만 아니라 교사들에게 교육적 컨텐츠를 만들고 지식을 전달할 수 있는 도구 효율적인 학습을 위한 수단 등을 제공합니다DISCIPLINA는 학생 교육 기관 (개인 교사 포함) 고용주 및 채용 담당자를 통합하는 역할을 합니다. 사용자는 플랫폼의 다양한 기능을 편리한 인터페이스를 통해 제공하는 애플리케이션을 통해 DISCIPLINA 플랫폼 및 위의 참가자들과 상호 작용할 수 있습니다.지금 ICO가 진행중에 있으며 7월초까지 진행중이라고 합니다.추가정보는 텔레그램방이나 오픈카카오톡방에 참여해주셔셔 질문주세요:텔레그램:오픈카카오톡:
"
                    벡사니엄 에어드랍                                    ",05-19,585,
"
                    Waves의 CEO 샤샤 이바노프와 함께하는 QnA 세션                                    ",05-05,502,$Waves 의 CEO 샤샤이바노프 Saha Ivanov 와 함께 진행하는 Q&A 세션이 진행 중 입니다.Periscope 스트림 : 유튜브 : 페이스북 : Waves의 스마트컨트랙이 테스트넷에서 활성화되었습니다. (5월4일 UTC기준)
"
                    Fixy Network (픽시 네트워크) 에어드랍 200ETH 상당 토큰 진행중..                                    ",05-02,510,오늘부터 (5월 2일) 픽시네트워크 에어드랍을 진행하고 있습니다.Fixy Network에 대해 간단히 설명하자면Fixy Network의 궁극적인 목표는 가상화폐를 어떻게 일상에 적용하냐가 관건인데 이를 위해 게임을 접목 시킨것입니다. 타 플랫폼을 예로들어 스팀같은 게임 플랫폼처럼 게임을 Fixy 플랫폼에서 FXY 토큰으로 구매하거나 플랫폼내 서비스를 이용할때 사용하는것입니다.단순히 스팀 게임 플랫폼을 비교해봤을때 스팀은 게임을 구매할때 원화달러 등의 법정화폐를 구매해야 하는데 Fixy Network같은 경우는 픽시 FXY 토큰을 이용하여 기존 법정화폐가 안고 있는 환전수수료 등 의 문제를 해결하고 토큰 사용시 저렴하게 이용될 수 있습니다.다시한번 핵심 요약하자면 Fixy Network는게이밍 플랫폼으로써 FXY토큰을 이용하여 플랫폼 내 서비스이용 (광고게임구매보상 등)에 사용되도록 하여 대중화를 이루도록 하는것을 목표로 하는 아쇼 입니다.(궁금하신 점이 있으시다면 아래의 한국 공식 Fixy Network채널에 참여해 주세요)텔레그램:카카오톡:다음은 에어드랍 캠페인에 참여하는 방법입니다. 아래의 활동을 수행할 경우 보너스 보상(bonus reward)를 받을 수 있습니다.텔레그램(영문):텔레그램(한국):텔레그램(영문):신청서:· Telegram Username→텔레그램 이름· Telegram Message→방에 참여하셔셔 글을 작성하신 메시지· Eth Address→당신의 ETH 퍼블릭 키(절대 프라이빗 키를 넣지 마세요)· ‘제출’을 누르면 에어드랍에 참여됩니다본인이 에어드랍 리스트에 등록되었는지 확인해보시려면을 보시면 됩니다.한국 분들은에 오셔서 질문을 남겨주시면 감사하겠습니다.보너스 캠페인은 참가자는 위의 모든 작업을 수행할 경우 총 200 ETH상당의 토큰 중 참여자수에 따른 지분(최대 10000명까지)을 받습니다.· 거래소 지갑으로 토큰을 보내면 없어집니다.· 거래소 지갑과 거래소 서비스는 보너스 캠페인에 해당이 안 됩니다.· 토큰은 오직 ERC-20 표준의 호환되는 지갑에만 전송 가능합니다.MyEtherWalletMetamaskParityMist· 토큰분배는 2018년 6월 8일에 분배가 시작됩니다.궁금하신 점이 있으시다면 아래의에 문의해 주세요.텔레그램:카카오톡:감사합니다.
"
                    블록체인 스터디 '디센피아' 창립멤버 모집합니다                                    ",05-01,718,안녕하세요 블록체인 스터디 모임 '디센피아(DECENPIA)'에서 탈중앙화의 가치를 함께 공부하실 분들을 찾고 있습니다. 혹시 그룹의 성격에 맞지 않다면 댓글로 남겨주시면 바로 삭제하도록 하겠습니다.'디센피아'는 탈중앙화의 의미와 가치를 국적 인종 성별 나이 경력의 차이를 넘어 사회적 기술적 관점에서 논의하고 실질적 가치를 탐구하고자 하는 스터디 그룹입니다. 이제 막 출발하는 '디센피아'에는 많은 것들이 정해지지 않았습니다. 탈중앙화의 가치를 믿는 블록체인 열성가 분들과 함께 처음부터 만들어 나가고자 합니다.좋은 분들과 함께 뜻을 모으고 싶습니다. 많은 지원을 기다립니다.어떤 생각으로 왜 만들게 되었는지는 아래 '자세히 보기' 링크를 참고해주시기 바랍니다.■ 자세히 보기- ■ 지원 링크- ■ 모집 일정- 모집 기간 : 2018년 4월 30일 ~ 2018년 5월 13일- 멤버 발표 : 2018년 5월 15일(이메일로 개별 안내)- 모집 인원 : 15명 내외- 첫 모임 : 2018년 5월 19일 오전 10시 한화 드림플러스 강남(강남역) 2층 대회의실■ 각종 문의사항은 이메일을 통해 연락주세요.- decenpia@gmail.com
"
                    Waves, 에어드롭 (airdrop) 이벤트                    ",04-27,885,
"
                    설현님 블로그에서 캡쳐해왔습니다                                    ",04-19,539,원본은 설현님(SH님) 블로그에서 가져왔습니다.
"
                    코인판이 망할 수 없는 이유/ICO가 매우 중요한 이유.                                    ",04-04,1118,
"
                    망고의 코인님의 글에 대한 견해 + SH의 현재 코인판 상황 분석                                    ",03-30,734,안녕하세요.SH님 블로그에서 퍼왓어요!먼저 이 글을 작성하기에 앞서 망고님을 비난 혹은 비판하려는 의도가 전혀 없다는 것을 밝힙니다.하락장에 한국분들께 힘을 주는 글을 적어주셔서 너무 보기 좋았습니다.먼저 이번 하락장은 비트코인이 가보지 못한 신고점을 가기위한 하락장이라는 부분에 대해서는 생각이 일치합니다. 하지만 월가의 1000조 이상 스탠바이는 너무 뇌피셜이시고 현재 벌써 시장에 들어오고 있을뿐 수치상으로 정확히 공개되지 않을뿐이지 스탠바이가 아닌 벌써 시장에 들어오고 있습니다. BITFINEX hidden order 거래량만 봐도 지속적으로 투입 자금량이 늘어나고 있는 상황이고 제가 담당하는 해외 투자자분들도 고액분들은 전부 Bitfinex에서 은행계좌 연동하셔서 hidden order로 자금 투입하십니다. 투자 자금이 몇억~몇십억정도 되시는 미국 고액투자자들은 어쩔수없이 hidden order로 매수넣습니다. 이미 들어오고 있고 테더 발행에 맞춰 전세계적으로 상승장이 시작될것이며 ICO들이 대부분 4월초에 presale들을 시작하며 자금을 모을것이기에 ICO로 자금이 빠지는 4월 첫주를 타겟으로 잡고 올릴수 밖에 없습니다. 그리고 푸에르토리코 전역의 무료 와이파이는 연관성없는 말도 안되는 소리인데 웃으라고 넣어주신것이라고 생각하겠습니다. G20이 7월로 미뤄진것은  중장기 시점에서 바라보면 매우 호재로 작용할겁니다. 날이 갈수록 ICO 로 전향하는 회사들이 많아지며 이미 수익을 내고 있는 기존 고객층을 가진 회사들이 ICO로 회사 규모를 키우는 움직임들이 본격적으로 시작되고 있는 상황입니다. 앞으로 더 많은 회사들이 ICO를 추진하며 고객층을 전세계로 넓히며 앞으로는 제대로된 아이디어나 제품이 있다면 예전보다 성공하는데 걸리는 시간이 빨라질것이고 처음 인터넷이 세상에 나왔을때 인터넷에 덕분에 지금의 대기업이라고 불리는 애플 구글 마이크로소프트 등등… 그 대기업들은 IPO 방식으로 몸집을 불리고 세계적인 대기업이 될수있었다면 앞으로는 ICO가 그 역할을 대신할것이며 이미 Wallstreet 쪽에서도 IPO 인력을 줄이기 시작했고 그 인원들은 ICO 방향으로 또는 실력있는 인재들이 ICO를 타겟으로 본인들의 회사를 설립하고 ICO 로 많이 넘어가고 있기에 IBM같은 경우는 벌써부터 여러 ICO에 자금을 투입해 reserve 해놨고 기관 투자 관련 Program Credit card 관련 모바일 코인과 은행계좌를 연동한 시스템 등등 수많은 회사들과 project들이 ICO에 의해 세상에 진출하기에 모든 Cryptocurrency 거래량 상승과 함께 4월~5월은 상승장이 열릴수밖에 없습니다.망고님의 640만원은 사실 말도 안된다고 생각하구요. 비트는 7600달러 밑으로 안빠진다고 봅니다. 7000달러 밑으로 빠질수없는 이유로는 비트 채굴과 수많은 장비들때문인데요. 이미 2년3년전부터 채굴하신분들은 벌써 다들 몇십억은 우습게 버셨어요. 그러기에 더 많은 사람들이 채굴에 뛰어들고 있고 심지어 기관이 주도하는 채굴 ICO 와 모바일로 핸드폰으로 누구든 손쉽게 채굴할수있게 해주는 app 에도 기관이 참여하고 있을만큼 기관 투자에서 바라보는 채굴 part의 중요성은 매우 크고 지금 같이 자금을 모집하는 시기에 현재 가격에 맞춰 미래 예상 수익률을 내는 것이므로 비트는 7000달러 밑으로 절대 못떨어지며 7600달러 밑으로도 못떨어진다고 보고 그냥 다 홀드하며 ICO 마저 분석하며 비율정하고 있습니다.지금 현존해있는 세계적 대기업의 대부분이 인터넷에 의해 탄생할수 있었고 앞으로 3~4년이후의 세계적 대기업은 Blockchain 을 이용해 ICO 로 탄생한 기업이 될것이라고 생각합니다. 그에 맞춰 전세계의 많은 사람들의 일상생활까지 바뀔것이며 한국 빗썸의 오프라인 가맹점 확보와 확대처럼 결국 2년안에는 점차 일상화가 될것이고 현재 많은 사람들이 이용하는 Facebook 이랑 Instagram 도 결국 수많은 유저들이 이용하지만 그 광고 수익은 전부 회사가 가져가기에 ICO로 비디오나 글 작성으로Steemit처럼 유저에게 보상을 해줄수있는 Social media로 전세계 유저들이 몰릴것이고 그 시점에는 우리의 모든 일상에서 Blockchain을 지울수 없는 Blockchain을 모르고 가상화폐 그런거 사기야 이렇게 생각하는 사람까지도 본인이 의도하지않지만 이미 가상화폐를 이용하고 있는 세상이 될겁니다. 즉 지금은 수많은 사람들이 각 나라의 화폐를 위해 일을 하지만 앞으로는 전세계의 금융 경제부분이 blockchain에 의해 decentralized 될것이고 한마디로 Blockchain과 P2P 거래에 의해 결제수수료나 지금까지 중간 유통과정에 의해 가격이 상승했던 가격들이 낮아지기 시작하며 수수료까지 거의 0%~1% 대에 맞춰 가격혜택과 편의성이 소비자들에게 바로 직결되기때문에 업주입장이나 소비자입장에서도 서로 윈윈하는 시스템으로 바뀔것이고 그걸 예상해 ICO에 투자하고 Presale에 참여해놓는다면 미래에 엄청난 수익을 보실수있는 것이기에 제가 ICO 분석에 매달리는 겁니다. 미국에서 유명한 스냅쳇이라는 Social media 어플은 지금의 ICO와 유사한 형태의 초기 Angel invest 투자대비 126만배 수익을 만들어 냈고 전 아쉽게도 그것을 서류작업때문에 놓쳤습니다. 과거에는 이런 투자에 개인이 참여하는게 매우 힘들고 까다로웠지만 지금 ICO는 개인이 이런 투자를 가능하게 해주므로 2018년~2019년에 전세계에서 더 많은 부자들이 탄생하며 부의 재분배까지 이뤄질것이라고 봅니다.제가 무료로 공개했던 Skraps ICO 도 전 자신있어서 영상까지 만들어 공개했던 겁니다. 진짜 지금부터 4월1일 직전까지가Cryptocurrency에 더 많은 자금을 투자할수있는 마지막 기회라고 생각됩니다. 지금 자금들 더 넣으시고 4월초 ICO에 맞춰 Presale 참여하는게 젤 현명한 투자입니다. 지금 비트 사놓들 뭘 사놓든 40배 못뜁니다. ICO 분석을 해서 ICO 수익률이요? 작년에 참여해 놓은 Crypto Ticket은 벌써 어플나오고 Binance 상장 확정됬다는데 기다리고 있습니다. 하지만 훨씬 가치 있고 중요한 ICO들은 4월에 시작하기에 막바지 분석에 힘쏟고 있습니다.손절하시는 분들께 하나만 말씀드리자면 투자를 몇개월 보고 오셨나요? 여윳돈으로 최소 3개월~6개월은 바라보셔야 그게 안전한 투자인것이고 솔직히 여윳돈으로 중장기 시점으로 보면 손해보기 어렵습니다. 투기와 투자는 다릅니다. 부디 한국의 많은 분들이 투기가 아닌 미래를 보는 투자를 하시길 바라겠습니다. 손절은 진짜 비추입니다. 4월말까지 한달만 버티시면 됩니다. 요즘 해외분들께 많이 신경을 쓰느라 한국분들께 신경을 많이 못쓴것 같아 한번 편히 적어봤네요.어짜피 한국분들만 보시니까 맘껏 퍼트려주시면 감사하고 혹시 코인판 후광님께서 보시면으로 메일하나 부탁드리겠습니다. 만약 보신다면.. 후광님 너무너무 오랜만입니다 코인판 SH입니다 작은 희망을 갖고 이메일 기다려보겠습니다.유튜브에서 sh eve 를 검색해보세요. 한국분들이 모두 많은 돈을 버셔서 더 따뜻하고 살기좋은 한국 사회 만들기에 동참해주시길 바라며 적어봅니다.감사합니다. SH
"
                    CoinKorea 3월 5주차 암호화폐 뉴스입니다.                                    ",03-29,1449,제 기준으로 눈에 띄는 뉴스들만 정리해보았습니다.잘못된 뉴스나 다른 이슈거리가 있다면 보충지적해주시면 감사하겠습니다. :)코인 트레이딩에 많은 도움 되셨으면 좋겠습니다.게시된 날짜들은 다른 국가 시간 기준도 있으니 정확하지 않을 수 있습니다.날짜에 관해선 '대략 이 시점이다' 참고해주시면 감사하겠습니다.암호화폐 정보를 운영중입니다.빠르게 소식을 접하고 싶으시다면나구독해주세요. :)공식을 개설했습니다.앞으로와뿐만 아닌에도 게시될 예정입니다.도 많이 구독해주시면 감사하겠습니다!CoinKorea 채팅 메신저에 참여해보세요.암호화폐 정보 공유를 위한 채널입니다. 많은 참여 부탁드립니다. :)
"
                    미국의 11세 소년 CEO는 ICO를 준비하고 있습니다.                    ",03-28,1241,"미국의 11세 소년 CEO는 ICO를 준비하고 있습니다.주인공은 미국 코네티컷에 살고있는 George Weiksner 이라는 소년입니다Pocketful of Quarter라는 회사를 운영하고 있습니다사업아이템은 이종게임간에 사용할수있는 게임코인입니다.왜 크래시오브클랜의 보석을 캔디크러쉬에서 사용할수 없냐라는 불만에서 시작한것입니다.싫증나서 그만하게되는 게임내 코인을 다른게임에서 사용하도록 하겠다는것입니다.코인명은 Quarters이고 1000 ~ 2000 이더리움을 모금할 계획이라고 합니다.팀구성보니 코파운더이자 CTO인 사람이 저 11세 소년과 성이 같습니다 ^^;;CEO의 아버지인것 같고 현재 Rostrum Capital이라는 투자사를 운영하고 있습니다.아들에게 좋은(?)추억만들기 또는 조기교육을 시키는것이 아닌가 싶습니다.암튼 학교다녀와서 숙제하고 남는 두시간정도의 시간을 업무에 할애하고 있다는 소년CEO를제가 직접 만난다면 한마디 해주고 싶습니다""이바닥은 양복입으면 사기꾼이란다.. ""그러면서 비탈릭의 패션센스를 참고하라고 조언해주고 싶습니다."
"
                    실시간으로 각종 코인들 무료 에어드랍 정보를 받아볼 수 있습니다.                                    ",03-27,767,
"
                    이오스 기반 ETU 코인 8888개 무료로 받자                                    ",03-24,842,"이오스 기반 ETU (이더 유니버스) 코인 에어드랍 소식입니다


위 링크는 ETU코인 설명과 백서구요

현재 8888개 무료로 에어드랍 하고있으며 다른사람들에서 소개시에는 소개한사람과 소개받은 사람에게 8888개씩 준답니다.

발행량은 총 100억개이며 10프로 정도 무료에어드랍이니 물량이 얼마 없어요
서두르시는게 좋습니다
4월중순에 큰 거래소에 10군데 이상 상장 예정이니
서두르세요
10원만 되어도 9만원 돈이며
100원되면 90만원 정도가 그냥 생기는거에요.
추천하면 더 생기구요 ㅎ
에이다를 만든 카르다노 재단 코인인데 발행량도 에이다의 5분의 1정도라상장되면 가격 제대로 오를거 같네요 에이다가 발행량 450억에 최대가격 1995원 찍었으니그 이상도 가능하리라 봅니다.



위주소로 들어가서 
본인 이메일 주소치고 들어가서
1번옆에 카피 누른뒤 바로밑에 텔레그램방으로 들어가서 붙여넣기 하면돼요.
그리고 새로고침 하면 8888개 들어온거 보일것입니다

하는데 2분도 안걸리니 다들 용돈 버시기 바랍니다
성투하세요~
"
"
                    Skraps John McAFee + 지금 가상화폐(암호화폐) Cryptocurrenc…                                    ",03-22,401,Skraps John McAFee + 지금 가상화폐(암호화폐) Cryptocurrency 에 더 투자해야하는 이유-> 
"
                    CoinKorea 3월 4주차 암호화폐 뉴스입니다.                                    ",03-22,1283,제 기준으로 눈에 띄는 뉴스들만 정리해보았습니다.잘못된 뉴스나 다른 이슈거리가 있다면 보충지적해주시면 감사하겠습니다. :)코인 트레이딩에 많은 도움 되셨으면 좋겠습니다.게시된 날짜들은 다른 국가 시간 기준도 있으니 정확하지 않을 수 있습니다.날짜에 관해선 '대략 이 시점이다' 참고해주시면 감사하겠습니다.암호화폐 정보를 운영중입니다.빠르게 소식을 접하고 싶으시다면나구독해주세요. :)공식을 개설했습니다.앞으로와뿐만 아닌에도 게시될 예정입니다.도 많이 구독해주시면 감사하겠습니다!CoinKorea 채팅 메신저에 참여해보세요.암호화폐 정보 공유를 위한 채널입니다. 많은 참여 부탁드립니다. :)
"
                    암호화폐 차트 분석가 모음입니다.                    ",03-21,771,암호화폐 차트 분석가 모음입니다.저는 개인적으로 암호화폐 차트를 믿지 않습니다하지만 가능한 많은 정보를 참고하려고 하고 그런차원에서 리스트공유합니다.유투버채널 BLOCK INFO 방송에서 언급한 레퍼런스를 참고하였습니다.유명한분이죠 (주로 하락장을 예상하는)유튜브도 합니다 이분도 유명하신 오리간님입니다 (신호등지표 제공하는분이죠)클리앙 가상화폐당의 리드나우님글도 추천입니다.12월급등(이건 많이들 예상했으니 )과 1~2월 급락까지 예상한 차트분석가중에댓글로 추천해주시면 계속 리스트 업데이트하겠습니다.
"
                    마운트곡스의 압류된 BTC,BCH 처분과 관련루머                                    ",03-11,651,마운트곡스의 압류된 BTCBCH 처분과 관련루머몇일전 마운트곡스의 채권관리자인 Nobuaki Kobayashi에 의해 4억달러 가량의 BTCBCH가 처분되었습니다.이로인해 비트코인가격이 급락하기도 하였습니다.현재 마운트곡스의 압류된 나머지 BTCBCH를 9월까지 처분하지 않을것이고 처분대신 분배를 선택할수 있다는 이야기가 트위터 등에서  돌고 있습니다.보고서에 따르면 제 9 차 채권단 회의를 통해 허락을 얻어 총 금액 JPY 42988044343 BTCBCH를 처분하였고 가능한 높은가격에 처분하려고 노력했다고합니다.그리고 법원과 상의하여 추가처분을 결정할 계획이라고 합니다.3월5일기준으로 166344 BTC 168177 BCC 가 남아있습니다.마운트곡스 홈페이지에서 보면앞으로 있을 제10차 채권자모임이 2018 년 9 월 26일로 예정되어있습니다.9차회의에서 처분을 결정했으니 여분에 대한 처분은 오는 9월 10차회의때 결정될것으로 예상되어서9월까지는 처분이 없을것이라는 이야기가 도는것 같습니다.그리고 처분아닌 분배가능성에 대한 이야기는 보고서에는 언급되지 않은 내용입니다.아무조록 시장에 큰여파가 없도록 한번에 처분하는 사태는 없었으면 좋겠습니다.
